email,name,password,confirmpassword,phoneNumber,emailLogin,passwordLogin,NationalId,to,from,item,weight,location,targetLocation,category,buyOrdeliver,price,date
test1@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test2@test.com,John Doe,Test1234,Test1234,'01114621092',test2@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test3@test.com,John Doe,Test1234,Test1234,'01114621092',test3@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test4@test.com,John Doe,Test1234,Test1234,'01114621092',test4@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test5@test.com,John Doe,Test1234,Test1234,'01114621092',test5@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test6@test.com,John Doe,Test1234,Test1234,'01114621092',test6@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test7@test.com,John Doe,Test1234,Test1234,'01114621092',test7@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test8@test.com,John Doe,Test1234,Test1234,'01114621092',test8@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test9@test.com,John Doe,Test1234,Test1234,'01114621092',test9@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
test10@test.com,John Doe,Test1234,Test1234,'01114621092',test10@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22
